DeviceID,DateID,BrowserID,OsID,CategoryID,NUM_OF_ACCESS,BROWSER_NAME,CATEGORY_NAME,CalendarQuarter,CalendarYear,DateAltKey,DayName,DayOfMonth,DayOfWeek,MonthName,MonthOfYear,DEVICE_NAME,DEVICE_TYPE,SCREEN_RESOLUTION,OS_NAME
84886,15,8,4,50,52,BlackBerry WebKit,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,BlackBerry Playbook,General_Desktop,1024x600,BlackBerry Tablet OS
87228,15,2,1,50,7,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC 802w,General_Mobile,1080x1920,Android
145274,15,2,1,50,1,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC Butterfly,General_Mobile,1080x1920,Android
107725,15,2,1,50,8,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC Desire,General_Mobile,320x473,Android
126949,15,2,1,50,1,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC Desire H,General_Mobile,369x610,Android
169812,15,2,1,50,7,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC DesireHD,General_Mobile,369x554,Android
169857,15,2,1,50,90,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC DesireHD,General_Mobile,369x615,Android
169878,15,2,1,50,1,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC DesireHD,General_Mobile,370x616,Android
138257,15,2,1,50,8,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC DesireSV,General_Mobile,800x480,Android
109137,15,2,1,50,6,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,H8-3G,General_Mobile,320x492,Android
156447,15,2,1,50,2,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC Legend,General_Mobile,320x424,Android
143182,15,2,1,50,19,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC One,General_Mobile,540x960,Android
112397,15,2,1,50,1,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC Rhyme,General_Mobile,320x521,Android
116764,15,2,1,50,2,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,GT-S5830i,General_Mobile,361x222,Android
87429,15,2,1,50,8,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTL22,General_Mobile,1080x1920,Android
157832,15,13,1,50,28,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,ST26i,General_Mobile,480x854,Android
